Date,States Tracked,New Tests,Positive,Negative,Pos + Neg,Pending,Deaths,Total Tests
02/02/20,1,0,1,N/A,1,N/A,N/A,1
02/01/20,1,0,1,N/A,1,N/A,N/A,1
01/31/20,1,0,1,N/A,1,N/A,N/A,1
01/30/20,1,0,1,N/A,1,N/A,N/A,1
01/29/20,1,0,1,N/A,1,N/A,N/A,1
01/28/20,1,0,1,N/A,1,N/A,N/A,1
01/27/20,1,0,1,N/A,1,N/A,N/A,1
01/26/20,1,0,1,N/A,1,N/A,N/A,1
01/25/20,1,0,1,N/A,1,N/A,N/A,1
01/24/20,1,0,1,N/A,1,N/A,N/A,1
01/23/20,1,0,1,N/A,1,N/A,N/A,1
01/22/20,1,N/A,1,N/A,1,N/A,N/A,1
